"name","volume","margulis constant","left geod","right geod","ortho length"
"s793(1,2)",4.104510610404654558124298116,1.1656966628476317,(0.719594851637856+2.295581381964522j),(1.006866512325924+2.817308776391533j),(0.769269802402579-0.701897725794601j)
"s554(-3,1)",4.104510610404654558124298116,1.1328496637811816,(0.735116082561449-1.606938697474904j),(0.898934784734744+2.095356328965288j),(0.917040732363545+1.770216279356347j)
"s432(1,3)",4.104560349851896489693609482,1.1479614524801474,(1.111337447135023-2.553527885425108j),(1.111337447134977-2.553527885425227j),(0.283123112865288+1.844817210662097j)
"s438(-5,1)",4.104818939211093738123401855,1.0648205747420376,(0.405036820172217+1.17852122644199j),(0.877436203128727+2.056012024894216j),(1.122160926090953-0.32889289706765j)
"s657(2,3)",4.107423647599014477443720561,1.052546223843515,(0.891991212245513+1.927053862763935j),(0.891991212245544+1.927053862763925j),(0.630317076779396+1.042800234864736j)
"m337(-2,3)",4.110393766621591930217818981,1.1248208137594418,(0.42017111803976-1.970391263843234j),(0.648683792881167+1.759219999667345j),(1.16362068040846-2.232557533847214j)
"s394(-5,1)",4.110659779901424325742746032,1.0410096298263944,(0.330515161271826+1.070819953850247j),(0.782291696670301-2.116697859186283j),(1.231881091595058-2.162009829046237j)
"m392(-4,1)",4.110835932701314778097143496,1.125903647819987,(0.458042348332839+1.561719997748692j),(0.649375412841816+2.299695318205728j),(1.170969296149994-2.757710244136497j)
"m338(-5,1)",4.111353293736316265991535976,1.0759859166248735,(0.301735850122722+1.113359195116579j),(0.748155029080254-2.344257562592825j),(1.277934124108407+0.124113980395984j)
"m361(4,1)",4.111553974961923401749924831,1.1153856620609914,(0.395590357609868-1.461957526052509j),(0.822238128506748-2.053359139543868j),(1.14175556867176+0.253492279347196j)
"m378(-4,1)",4.112852898494060192237749293,1.1218856325383106,(0.430614902848733+1.513214732328946j),(0.676983414745056+1.980251978001546j),(1.211919854815985-0.081092890301091j)
"s490(1,3)",4.113247511764597965221943959,1.1349666719918179,(0.508285891862314+1.569039041131051j),(0.553954845521881+2.360407214287691j),(1.191043991097816-2.741468442368914j)
"s359(4,3)",4.115135292685189971739751970,1.1248080132129776,(0.661818562099604+1.7831981424421j),(0.79566933094327-2.535273187443589j),(0.949645208882267+0.273134154206015j)
"s572(3,2)",4.115217252308230791194477309,1.10388706710724,(0.829676780059098-2.850342399229332j),(1.066461503574794+3.075841065779539j),(0.493686605292401+1.34884897643573j)
"s580(-4,1)",4.115414702728788682135359426,1.0756688043619447,(0.582792410822633+1.297914782647816j),(0.629725686276167-2.583563293248681j),(1.108101998700853-2.836373150712953j)
"m364(-3,2)",4.116852667541084206510853826,1.1559401467000936,(0.507635536827818+1.803933651616422j),(0.520034094749315+2.103272257892599j),(1.204378475823203-2.298565432263408j)
"s566(2,3)",4.116968736386066724912101479,1.1102121021185956,(0.670657036618945+1.280080103876144j),(1.092952128774596+2.039846968018464j),(0.747618558852624-2.553565900693047j)
"v2678(2,1)",4.116968736386066724912101479,1.1073763302680444,(1.092952128774572-2.039846968018544j),(1.092952128774503-2.039846968018523j),(0.190786004089753-1.135394250397938j)
"s500(4,1)",4.116968736386066724912101479,1.0808619616630772,(0.473403984484514-1.477719318988058j),(0.546476064387296+2.121669169580555j),(1.186147746824094+2.23871633446275j)
"s455(3,2)",4.116968736386066724912101479,1.341314073237889,(0.946807968969034-2.955438637976043j),(1.341314073237889-2.560160207752286j),(0.450623370906052-1.190774846618954j)
