"name","left geod","right geod","ortho"
"v1688(,)",0.44266+1.51185*1j,0.69504-1.94449*1j,1.47914+3.0507*1j
"v1689(,)",0.41211-2.49214*1j,0.51461-2.02273*1j,1.31283+1.22981*1j
"v1690(,)",0.54541+2.47486*1j,0.56174+2.51731*1j,1.1905-0.50729*1j
"v1691(,)",0.66918-2.40786*1j,0.68455+2.39364*1j,1.307+0.0238*1j
"v1694(,)",0.63524-2.38463*1j,0.66199+2.35783*1j,1.35353-0.00962*1j
"v1696(,)",0.49211+1.90305*1j,0.52583+1.89809*1j,1.20834+1.39514*1j
"v1702(,)",0.41654-1.5784*1j,0.64151-1.9923*1j,1.25744+0.39068*1j
"v1705(,)",0.45651+2.2704*1j,0.60573-2.04849*1j,1.51727+0.95139*1j
"v1707(,)",0.51139+1.86809*1j,0.52103+1.89997*1j,1.20031-1.71771*1j
"v1709(,)",0.65392+2.40662*1j,0.68432-2.37786*1j,1.3328+3.09327*1j
"v1712(,)",0.47999+2.25024*1j,0.59215-2.02004*1j,1.50217+0.891*1j
"v1713(,)",0.6002-2.47047*1j,0.6272-2.50742*1j,1.10006+0.47364*1j
"v1715(,)",0.50054-1.90605*1j,0.52597-1.8875*1j,1.20227+1.73917*1j
"v1717(,)",0.4706+2.29425*1j,0.58165-2.06294*1j,1.53202+0.87176*1j
"v1718(,)",0.50253+2.28211*1j,0.56085-2.03888*1j,1.5054-2.21679*1j
"v1720(,)",0.63848+2.3797*1j,0.65692-2.36119*1j,1.35291+0.00664*1j
"v1723(,)",0.45974-2.26548*1j,0.60493+2.04237*1j,1.51117-0.94097*1j
"v1735(,)",0.54649+2.48565*1j,0.56956+2.51922*1j,1.18142-0.5162*1j
"v1739(,)",0.66457-2.40428*1j,0.68125+2.38869*1j,1.32024-3.11544*1j
"v1744(,)",0.47581-2.29401*1j,0.57741+2.0602*1j,1.52566+2.26313*1j
"v1745(,)",0.44677-2.4975*1j,0.55427-2.02221*1j,1.24318-1.91954*1j
"v1749(,)",0.48714+2.2541*1j,0.58431-2.021*1j,1.51521+0.88191*1j
"v1750(,)",0.47547-2.25361*1j,0.59508+2.02481*1j,1.50407-0.90196*1j
"v1753(,)",0.42211+1.58*1j,0.64383+2.00312*1j,1.24918-0.39932*1j
"v1754(,)",0.45461-2.49239*1j,0.56191-2.01511*1j,1.23168-1.93288*1j
"v1759(,)",0.49743-2.28517*1j,0.5637+2.04337*1j,1.50847+2.22642*1j
"v1760(,)",0.46389+2.26243*1j,0.60236-2.03769*1j,1.50939+0.93066*1j
"v1762(,)",0.64226-2.37662*1j,0.64226-2.37662*1j,1.85644+2.80659*1j
"v1762(,)",0.64226-2.37662*1j,0.65378+2.36505*1j,1.35316-0.00415*1j
"v1762(,)",0.65378+2.36505*1j,0.65378+2.36505*1j,1.85855-2.78745*1j
"v1765(,)",0.41264-2.46041*1j,0.50979-1.98689*1j,1.32458-1.97633*1j
"v1771(,)",0.46148-2.27279*1j,0.59998+2.0484*1j,1.52617-0.94437*1j
"v1774(,)",0.59082+2.47072*1j,0.62273+2.49346*1j,1.11336+2.67505*1j
"v1776(,)",0.48006+2.29241*1j,0.57465-2.05686*1j,1.52217-2.25593*1j
"v1778(,)",0.64258-2.38179*1j,0.65906+2.36539*1j,1.35515-0.0059*1j
"v1778(,)",0.64258-2.38179*1j,0.64258-2.38179*1j,1.85135+2.80987*1j
"v1778(,)",0.65906+2.36539*1j,0.65906+2.36539*1j,1.85419-2.78306*1j
"v1779(,)",0.49855-2.27871*1j,0.56539+2.03771*1j,1.51431+2.21686*1j
"v1783(,)",0.45888+2.48406*1j,0.56503+2.00523*1j,1.22816-1.19188*1j
"v1790(,)",0.37778+2.38653*1j,0.5068-1.96796*1j,1.36062-1.59107*1j
"v1791(,)",0.64588+2.37501*1j,0.65217-2.36873*1j,1.35388-3.13933*1j
"v1791(,)",0.64588+2.37501*1j,0.64588+2.37501*1j,1.85536-2.80205*1j
"v1791(,)",0.65217-2.36873*1j,0.65217-2.36873*1j,1.85648+2.79169*1j
"v1795(,)",0.49278+2.28618*1j,0.56703-2.04611*1j,1.51326-2.23301*1j
"v1796(,)",0.41364-2.48294*1j,0.51469-2.01208*1j,1.3141-1.93118*1j
"v1797(,)",0.4786-2.25657*1j,0.5911+2.02635*1j,1.51208-0.89907*1j
"v1799(,)",0.59942+2.47713*1j,0.6169+2.50901*1j,1.10647-0.48234*1j
"v1805(,)",0.47554+2.28955*1j,0.57977-2.0566*1j,1.53144-2.25773*1j
"v1807(,)",0.48315-2.29007*1j,0.57319+2.05351*1j,1.52103+2.24925*1j
"v1813(,)",0.46576+2.26631*1j,0.59894-2.0405*1j,1.51812-2.21084*1j
"v1817(,)",0.39785+2.41199*1j,0.4865-1.93467*1j,1.36132+1.49231*1j
"v1825(,)",0.6476+2.37763*1j,0.6548-2.37047*1j,1.35545+0.00258*1j
"v1825(,)",0.6476+2.37763*1j,0.6476+2.37763*1j,1.85173-2.80233*1j
"v1825(,)",0.6548-2.37047*1j,0.6548-2.37047*1j,1.85296+2.79065*1j
"v1832(,)",0.45844-2.47564*1j,0.56306-1.99612*1j,1.23265+1.17722*1j
"v1835(,)",0.49197+2.28281*1j,0.5691-2.04371*1j,1.51817-2.22961*1j
"v1835(,)",0.5691-2.04371*1j,0.5691-2.04371*1j,1.99942-1.88884*1j
"v1838(,)",0.5842-2.4741*1j,0.61467-2.48526*1j,1.12524+0.46601*1j
"v1839(,)",0.41445+2.46693*1j,0.51288+1.99393*1j,1.31882-1.1778*1j
"v1842(,)",0.41059+2.47227*1j,0.56839+1.99607*1j,1.28266-1.17958*1j
"v1849(,)",0.576+2.05215*1j,0.576+2.05215*1j,2.00532+1.8749*1j
"v1849(,)",0.48122-2.28738*1j,0.576+2.05215*1j,1.52671+2.24808*1j
"v1865(,)",0.44831+2.48947*1j,0.55445+2.01307*1j,1.2445-1.2066*1j
"v1866(,)",0.44972-2.51226*1j,0.46486+2.26816*1j,1.33447+1.00783*1j
"v1870(,)",0.44812+2.45232*1j,0.52312+2.02094*1j,1.26973+1.96586*1j
"v1871(,)",0.4396+2.45286*1j,0.53863+1.97424*1j,1.27477-1.14274*1j
"v1873(,)",0.56571-2.49177*1j,0.58081-2.46781*1j,1.16466+0.4757*1j
"v1879(,)",0.43453-2.45286*1j,0.53303-1.97502*1j,1.28421+1.14418*1j
"v1881(,)",0.41341+2.46621*1j,0.56501+2.00407*1j,1.28165-1.17806*1j
"v1883(,)",0.44441-2.4547*1j,0.54423-1.97551*1j,1.26538+1.14471*1j
"v1884(,)",0.52006-2.27888*1j,0.56829-2.28147*1j,1.50391+2.47313*1j
"v1885(,)",0.56724+2.48806*1j,0.58663+2.46805*1j,1.15963-0.47185*1j
"v1892(,)",0.53151-2.3001*1j,0.55479-2.25939*1j,1.51131-0.59277*1j
"v1904(,)",0.58715-2.47733*1j,0.61133-2.49106*1j,1.12371+0.47283*1j
"v1905(,)",0.56971-2.48511*1j,0.59194-2.46998*1j,1.15392+0.46977*1j
"v1908(,)",0.44815+2.4581*1j,0.54887+1.97865*1j,1.25754-1.14972*1j
"v1909(,)",0.44213+2.45163*1j,0.52994+2.02186*1j,1.27179-1.17503*1j
"v1910(,)",0.38388+2.39208*1j,0.50291-1.95838*1j,1.359+1.53542*1j
"v1911(,)",0.39676-2.36431*1j,0.54125+1.95316*1j,1.30883+1.5868*1j
"v1917(,)",0.40333+2.36244*1j,0.54556-1.94551*1j,1.29911-1.59278*1j
"v1918(,)",0.4535-2.47867*1j,0.5582-2.0003*1j,1.24012+1.18472*1j
"v1920(,)",0.57272+2.48315*1j,0.59616+2.47322*1j,1.14824-0.46946*1j
"v1921(,)",0.52298+2.27359*1j,0.56505+2.28731*1j,1.49857-2.48388*1j
"v1922(,)",0.39428-2.40494*1j,0.49269+1.94134*1j,1.35904-1.50588*1j
"v1930(,)",0.53726-2.30068*1j,0.54888-2.25936*1j,1.50496-0.60157*1j
"v1934(,)",0.41771-2.46225*1j,0.55959-2.00922*1j,1.28027+1.17709*1j
"v1940(,)",0.38752+2.40187*1j,0.55122-1.9348*1j,1.3216+1.49919*1j
"v1944(,)",0.43703+2.45285*1j,0.53592+2.02057*1j,1.27363+1.96649*1j
"v1945(,)",0.41001-2.36355*1j,0.54602+1.93696*1j,1.29309-1.53964*1j
"v1948(,)",0.42302+2.39939*1j,0.50861-1.91213*1j,1.31597+1.48427*1j
"v1952(,)",0.4264-2.39403*1j,0.51531+1.90999*1j,1.3068+1.65411*1j
"v1956(,)",0.39355-2.40554*1j,0.54835+1.94376*1j,1.31657-1.5011*1j
"v1959(,)",0.43075+2.3858*1j,0.49834-1.95541*1j,1.30778+1.53242*1j
"v1960(,)",0.57073-2.49076*1j,0.58464-2.47416*1j,1.157+0.47831*1j
"v1962(,)",0.52699-2.27024*1j,0.56058-2.29086*1j,1.49771+2.49413*1j
"v1965(,)",0.54216+2.29945*1j,0.5441+2.26102*1j,1.5023-2.53101*1j
"v1966(,)",0.41756-2.46926*1j,0.55958-2.00032*1j,1.28063+1.17909*1j
"v1967(,)",0.42726+2.38784*1j,0.52228-1.91068*1j,1.29981+1.49387*1j
"v1969(,)",0.42223+2.46039*1j,0.55392+2.01159*1j,1.27883-1.17673*1j
"v1970(,)",0.43727-2.4573*1j,0.53676-1.97951*1j,1.27777+1.15169*1j
"v1974(,)",0.57403+2.48682*1j,0.59168+2.47683*1j,1.14934-0.47554*1j
"v1975(,)",0.42857+2.39225*1j,0.50503-1.95928*1j,1.30566-1.61406*1j
"v1976(,)",0.43324-2.45518*1j,0.54046-2.01789*1j,1.27505+1.17565*1j
"v1977(,)",0.49908+2.28884*1j,0.49974-2.51841*1j,1.2579-2.16714*1j
"v1981(,)",0.44364+2.45988*1j,0.5442+1.98133*1j,1.26517-1.15443*1j
"v1983(,)",0.73116-2.51277*1j,0.78665+1.94563*1j,0.81487+1.23452*1j
"v1985(,)",0.44234+2.4566*1j,0.52979+2.01612*1j,1.27209-1.17676*1j
"v1986(,)",0.41516+2.36714*1j,0.54299-1.9298*1j,1.29159+1.52982*1j
"v1989(,)",0.39996+2.40636*1j,0.54262-1.94996*1j,1.31304+1.50442*1j
"v1993(,)",0.52678-2.27646*1j,0.56094-2.28414*1j,1.50747+2.48682*1j
"v1995(,)",0.42562-2.38226*1j,0.52806+1.91389*1j,1.29613+1.63974*1j
"v1998(,)",0.53719+2.29602*1j,0.54934+2.26406*1j,1.51255-2.53569*1j
"v2000(,)",0.53107+2.26869*1j,0.55614+2.29236*1j,1.49982-2.50235*1j
"v2003(,)",0.50045+2.29851*1j,0.50919-2.50955*1j,1.25262+0.95538*1j
"v2006(,)",0.54071-2.26355*1j,0.54579-2.29715*1j,1.50247-0.61853*1j
"v2015(,)",0.42442-2.39685*1j,0.51212+1.96023*1j,1.30557+1.61882*1j
"v2020(,)",0.44789+2.29907*1j,0.45462-2.46914*1j,1.3594-2.20471*1j
"v2025(,)",0.45217-2.4993*1j,0.46013+2.27791*1j,1.34146+0.9857*1j
"v2031(,)",0.4232+2.46399*1j,0.55266+2.00713*1j,1.27872-1.17786*1j
"v2032(,)",0.40218-2.36791*1j,0.53846+1.94532*1j,1.30701-1.54402*1j
"v2036(,)",0.4355-2.4581*1j,0.5378-2.0144*1j,1.27449-1.96483*1j
"v2043(,)",0.40539-2.4049*1j,0.5361+1.95294*1j,1.31121+1.63339*1j
