"name","margulis upper","left geod","left power","right geod","right power","ortho"
"m117(-5,1)",1.0331522975753098,0.65815+2.0257j,1,0.68545+1.6823j,1,0.92992-0.16589j
"m117(-5,1)",1.012602497449229,0.41205+1.30421j,1,0.7661+3.09783j,1,1.02251-2.04888j
"m117(-5,1)",1.2208678839996336,0.65815+2.0257j,1,0.7661+3.09783j,1,1.04135-1.68742j
"m117(4,1)",1.1030031621053993,0.53902+2.079j,1,0.72681+1.68618j,1,1.05071-0.24753j
"m078(-2,3)",0.9998441202962941,0.34655+1.15045j,1,0.7095-2.75117j,1,1.12942+0.66523j
"m078(-2,3)",1.2467715249039242,0.30375+2.18737j,1,0.7095-2.75117j,1,1.1774-1.3395j
"m078(-5,2)",1.0012726379850667,0.38293+1.1389j,1,0.68396-2.92552j,1,1.12957+0.82325j
"m078(-5,2)",1.0555555000147876,0.32706-2.72826j,2,0.68396-2.92552j,1,1.16426+1.20202j
"m137(5,1)",1.0183740791801819,0.42605-1.01416j,1,0.6165+2.78883j,1,1.22506-0.39911j
"m120(5,1)",0.981811586117457,0.37763-1.10618j,1,0.65117+1.83553j,1,1.20814+2.16344j
"m120(5,1)",1.0063717382330526,0.448+1.45483j,1,0.65117+1.83553j,1,1.08821+2.71222j
"m146(-4,1)",1.1194638013673979,0.54354+2.28021j,1,0.7834-1.5708j,1,1.03275-0.08874j
"m147(-4,1)",1.0708366693317748,0.69626-1.94157j,1,0.71595+2.01637j,1,0.91383+0.18413j
"m130(-4,1)",1.0127796865535081,0.61541-1.9504j,1,0.61541-1.9504j,1,0.92891+2.431j
"m139(1,4)",0.9847871005837323,0.57661+1.61953j,1,0.79418+3.07085j,1,0.79998-2.02657j
"m139(1,4)",0.9847871005837323,0.57661+1.61953j,1,0.79418+3.07085j,1,0.79998-2.02657j
"m116(-5,1)",1.0785619033553364,0.49574-1.93291j,1,0.52066+1.72392j,1,1.14883-0.7015j
"m137(-6,1)",1.0010666652920832,0.36629+0.94962j,1,0.75215-1.69935j,1,1.28041-2.29355j
"m137(-6,1)",1.0237414265704394,0.36629+0.94962j,1,0.61005+2.54497j,1,1.31509+0.49185j
"m137(-6,1)",1.0673324036953866,0.61005+2.54497j,1,0.75215-1.69935j,1,0.91232-0.06541j
"m118(3,2)",1.0004433278301237,0.70684+2.69575j,1,0.70684+2.69575j,1,0.70883+1.51764j
"m118(4,1)",1.181687127960433,0.34921+2.48851j,2,0.67921+2.75992j,1,1.15926+2.13621j
