"name","geod","length","ortho","move"
"v0169(,)",1,0.84719-2.71291*1j,1.40759+0.58143*1j,1.65633776519825
"v0170(,)",2,0.89532+2.6672*1j,1.38265-0.51229*1j,1.65979130176554
"v0170(,)",1,0.83189-2.69608*1j,1.43209+0.57168*1j,1.66703772829158
"v0170(,)",0,0.07128+1.32924*1j,3.83773+2.57821*1j,1.56739659971881
"v0171(,)",2,0.89487+2.68191*1j,1.37602-0.52651*1j,1.65530374231046
"v0171(,)",1,0.84254-2.705*1j,1.4165+0.57565*1j,1.66057156260466
"v0171(,)",0,0.06518+1.67405*1j,3.92687+2.15606*1j,1.55629124054805
"v0172(,)",0,0.05982+1.13925*1j,4.15854+0.47464*1j,2.14683358472114
"v0172(,)",3,0.89164-2.68665*1j,1.35264-2.8257*1j,1.63380096910689
"v0172(,)",2,0.85291-2.6532*1j,1.38837-2.84269*1j,1.63705535047369
"v0172(,)",1,0.84312-2.70217*1j,1.38552-2.80542*1j,1.63367767361767
"v0173(,)",0,0.05982+1.13925*1j,4.15918-2.38114*1j,2.14734871084302
"v0173(,)",3,0.89226+2.68036*1j,1.35336+2.83058*1j,1.63420406051145
"v0173(,)",2,0.84795+2.70579*1j,1.38144+2.80368*1j,1.63339492691604
"v0173(,)",1,0.84747+2.65586*1j,1.39174+2.83951*1j,1.6369547743859
"v0174(,)",0,0.05282+2.83657*1j,4.2799+1.08109*1j,2.13110162857709
"v0174(,)",3,0.88056-2.69954*1j,1.35863-2.81397*1j,1.63317356243289
"v0174(,)",2,0.8693-2.65564*1j,1.3757-2.84453*1j,1.63645995163672
"v0174(,)",1,0.8378-2.68684*1j,1.39213-2.8153*1j,1.63471268258476
"v0175(,)",0,0.05282+2.83657*1j,4.28008-1.77463*1j,2.13124716343507
"v0175(,)",1,0.83937+2.66997*1j,1.39445+2.82758*1j,1.63592728295325
"v0175(,)",2,0.86443+2.70648*1j,1.36937+2.80602*1j,1.63306074835225
"v0175(,)",3,0.88385+2.66556*1j,1.36266+2.84014*1j,1.63537952527796
"v0176(,)",0,0.0503-2.58259*1j,4.18612-2.28844*1j,1.56105345885542
